0.0000, 1
0.0816, 2
0.1633, 5
0.2449, 7
0.3265, 16
0.4082, 55
0.4898, 136
0.5714, 232
0.6531, 532
0.7347, 925
0.8163, 1323
0.8980, 1639
0.9796, 1695
1.0612, 1519
1.1429, 1191
1.2245, 868
1.3061, 532
1.3878, 369
1.4694, 313
1.5510, 283
1.6327, 304
1.7143, 262
1.7959, 297
1.8776, 339
1.9592, 318
2.0408, 319
2.1224, 331
2.2041, 286
2.2857, 290
2.3673, 292
2.4490, 239
2.5306, 197
2.6122, 173
2.6939, 153
2.7755, 138
2.8571, 99
2.9388, 81
3.0204, 57
3.1020, 39
3.1837, 47
3.2653, 27
3.3469, 17
3.4286, 17
3.5102, 11
3.5918, 8
3.6735, 3
3.7551, 3
3.8367, 2
3.9184, 2
